Code;Commutator code ;Electric Diagram ;Name;Volume (market);Brand;Cluster Description;Eprel Clusters;Controller;Function Type;Type;Buffle ;Insulation Code ;Insulation Desc.;Type of Lamps ;Lamp Code ;Lamp Power ;Upper Resistance ;Upper Heater Power;Upper Heater Surface Load ;Lower Resistance;Lower Heater Power;Lower Heater  Surface Load ;Cavity Resistance Code;Cavity Heater Power;Cavity Heater Surface Load ;Cooling Fan;Cooling Fan Power ;Cavity Fan;Cavity Fan Power ;Turnspit;Number of glass;Cavity Type ;Ventilation Channel ;ECO Program ;Chimney
33702982;42837376;42827049;FCT612X;1700;Candy;HALINO CATA;FCP625X/E;Mechanic Timer 50;Fan Assisted;MR07;New ECO;70018701;Yellow Glasswool (24 kg/m3 , 30 mm);1 Back;42823856;25W;42827354;1010W(internal)+1010W(external);4.32 W/cm2-4.58 W/cm2;42827837;1100W;2.35 W/cm2;;;;91204735;18W;42834931;22W;N;1 Reflective + 1 Float;Flat;Switch Protection ;No;N
33702983;ECO Program ;ECO Program ;FCT612X WIFI;660;Candy;HALINO CATA;FCP825XL E0/E;E0 w/o Display;Fan Assisted;MR07;New ECO;70018701;Yellow Glasswool (24 kg/m3 , 30 mm);1 Back;42823856;25W;42827354;1010W(internal)+1010W(external);4.32 W/cm2-4.58 W/cm2;42827837;1100W;2.35 W/cm2;;;;42822091;12W;42834931;22W;N;1 Reflective + 1 Float;Flat;Ventilation Channel ;Yes;N
33702984;42830813;42825354;FCTS825XL;410;Candy;HALINO CATA;HCT615X/E;Timer Touch;Multifunction;MR07;New ECO;42827845;Needled Glasswool (33 kg/m3 , 30mm);1 Back;42823856;25W;42825244;1800W;5,13 W/cm2;42830902;1050W(external)+450W(internal);5.18 W/cm2-3.6 W/cm2;42825300;1800W;5.53 W/cm2;42822091;12W;42828618;22W;N;1 Reflective + 1 Float;Flat;Ventilation Channel ;No;5mm
33703000;42830813;42825354;FCPS815XL/1E;910;Candy;HALINO CATA;HCT615X/E;Timer Touch;Multifunction;MR07;New ECO;42827845;Needled Glasswool (33 kg/m3 , 30mm);1 Back;42823856;25W;42825244;1800W;5,13 W/cm2;42830902;1050W(external)+450W(internal);5.18 W/cm2-3.6 W/cm2;42825300;1800W;5.53 W/cm2;42822091;12W;42828618;22W;N;1 Reflective + 1 Float;Flat;Ventilation Channel ;No;5mm
33703004;42830814;42825594;FCPS615X/1/E;1120;Candy;HALINO CATA;HCT615X/E;Timer Touch;Fan Assisted;MR07;New ECO;42827845;Needled Glasswool (33 kg/m3 , 30mm);1 Back;42823856;25W;42825244;1800W;5,13 W/cm2;42830902;1050W(external)+450W(internal);5.18 W/cm2-3.6 W/cm2;;;;42822091;12W;42828618;22W;N;1 Reflective + 1 Float;Flat;Ventilation Channel ;No;5mm
33703012;ECO Program ;ECO Program ;FSCTX615 WIF;3280;Candy;HALINO CATA;FCTS815XL WIFI;E0 Green;Fan Assisted;MR07;New ECO;42827845;Needled Glasswool (33 kg/m3 , 30mm);1 Back;42823856;25W;42825244;1800W;5,13 W/cm2;42830902;1050W(external)+450W(internal);5.18 W/cm2-3.6 W/cm2;;;;42822091;12W;42834931;22W;N;1 Reflective + 1 Float;Flat;Ventilation Channel ;Yes;5mm
33703013;ECO Program ;ECO Program ;FCTS815XL WI;1280;Candy;HALINO CATA;FCTS815XL WIFI;E0 Green;Multifunction;MR07;New ECO;42827845;Needled Glasswool (33 kg/m3 , 30mm);1 Back;42823856;25W;42825244;1800W;5,13 W/cm2;42830902;1050W(external)+450W(internal);5.18 W/cm2-3.6 W/cm2;42825300;1800W;5.53 W/cm2;42822091;12W;42834931;22W;N;1 Reflective + 1 Float;Flat;Ventilation Channel ;Yes;5mm
33703016;ECO Program ;ECO Program ;FSCTXL815 WI;80;Candy;HALINO CATA;FCTS815XL WIFI;E0 Green;Multifunction;MR07;New ECO;42827845;Needled Glasswool (33 kg/m3 , 30mm);1 Back;42823856;25W;42825244;1800W;5,13 W/cm2;42830902;1050W(external)+450W(internal);5.18 W/cm2-3.6 W/cm2;42825300;1800W;5.53 W/cm2;42822091;12W;42834931;22W;N;1 Reflective + 1 Float;Flat;Ventilation Channel ;Yes;5mm
33703020;42837376;42827049;FCT600X/E;330;Candy;HALINO CATA;FCS 605 X/E;No timer (2 knobs);Fan Assisted;MR07;New ECO;42827845;Needled Glasswool (33 kg/m3 , 30mm);1 Back;42823856;25W;42827354;1010W(internal)+1010W(external);4.32 W/cm2-4.58 W/cm2;42827837;1100W;2.35 W/cm2;;;;91204735;18W;42834931;22W;N;1 Reflective + 1 Float;Embossed;Switch Protection ;No;N
33703032;42827819;42827049;FCP612WXL/E1;40;Candy;HALINO CATA;;Mechanical Minute Minder 60';Fan Assisted;MR07;New ECO;42830024;Yellow Glasswool (24 kg/m3 , 30 mm);1 Back;42823856;25W;42827354;1010W(internal)+1010W(external);4.32 W/cm2-4.58 W/cm2;42827837;1100W;2.35 W/cm2;;;;91204735;18W;42834931;22W;N;1 Reflective + 1 Float;Flat;Switch Protection ;No;N
33703033;42837376;42827049;FCP612NXL/E1;80;Candy;HALINO CATA;;Mechanical Minute Minder 60';Fan Assisted;MR07;New ECO;70018701;Yellow Glasswool (24 kg/m3 , 30 mm);1 Back;42823856;25W;42827354;1010W(internal)+1010W(external);4.32 W/cm2-4.58 W/cm2;42827837;1100W;2.35 W/cm2;;;;91204735;18W;42834931;22W;N;1 Reflective + 1 Float;Flat;Switch Protection ;No;N
33703034;42837376;42827049;FCP612XL/E1;80;Candy;HALINO CATA;FCP612XL/E1;Mechanical Minute Minder 60';Fan Assisted;MR07;New ECO;70018701;Yellow Glasswool (24 kg/m3 , 30 mm);1 Back;42823856;25W;42827354;1010W(internal)+1010W(external);4.32 W/cm2-4.58 W/cm2;42827837;1100W;2.35 W/cm2;;;;91204735;18W;42834931;22W;N;1 Reflective + 1 Float;Flat;Switch Protection ;No;N
33703045;42837376;42827049;FCP605NXL/E ;290;Candy;HALINO CATA;;Timer Touch;Fan Assisted;MR07;New ECO;70018701;Yellow Glasswool (24 kg/m3 , 30 mm);1 Back;42823856;25W;42827354;1010W(internal)+1010W(external);4.32 W/cm2-4.58 W/cm2;42827837;1100W;2.35 W/cm2;;;;91204735;18W;42828618;22W;N;1 Reflective + 1 Float;Embossed;Switch Protection ;No;N
33703046;42837376;42827049;FCP602N/E IS;460;Candy;HALINO CATA;;Mechanical Minute Minder 60';Fan Assisted;MR07;New ECO;70018701;Yellow Glasswool (24 kg/m3 , 30 mm);1 Back;42823856;25W;42827354;1010W(internal)+1010W(external);4.32 W/cm2-4.58 W/cm2;42827837;1100W;2.35 W/cm2;;;;91204735;18W;42834931;22W;N;1 Reflective + 1 Float;Embossed;Switch Protection ;No;N
33703047;42837376;42827049;FCP605WXL/E ;210;Candy;HALINO CATA;;Timer Touch;Fan Assisted;MR07;New ECO;42830024;Yellow Glasswool (24 kg/m3 , 30 mm);1 Back;42823856;25W;42827354;1010W(internal)+1010W(external);4.32 W/cm2-4.58 W/cm2;42827837;1100W;2.35 W/cm2;;;;42822091;12W;42828618;22W;N;1 Reflective + 1 Float;Embossed;Ventilation Channel ;No;5mm
33703048;42837376;42827049;FCP605XL/E I;210;Candy;HALINO CATA;;Timer Touch;Fan Assisted;MR07;New ECO;70018701;Yellow Glasswool (24 kg/m3 , 30 mm);1 Back;42823856;25W;42827354;1010W(internal)+1010W(external);4.32 W/cm2-4.58 W/cm2;42827837;1100W;2.35 W/cm2;;;;42822091;12W;42828618;22W;N;1 Reflective + 1 Float;Embossed;Ventilation Channel ;No;5mm
33703049;42837376;42827049;FCP602X/E IS;370;Candy;HALINO CATA;;Mechanical Minute Minder 60';Fan Assisted;MR07;New ECO;70018701;Yellow Glasswool (24 kg/m3 , 30 mm);1 Back;42823856;25W;42827354;1010W(internal)+1010W(external);4.32 W/cm2-4.58 W/cm2;42827837;1100W;2.35 W/cm2;;;;91204735;18W;42834931;22W;N;1 Reflective + 1 Float;Embossed;Switch Protection ;No;N
33703050;42827819;42827049;FCP602W/E IS;120;Candy;HALINO CATA;;Mechanical Minute Minder 60';Fan Assisted;MR07;New ECO;70018701;Yellow Glasswool (24 kg/m3 , 30 mm);1 Back;42823856;25W;42827354;1010W(internal)+1010W(external);4.32 W/cm2-4.58 W/cm2;42827837;1100W;2.35 W/cm2;;;;91204735;18W;42834931;22W;N;1 Reflective + 1 Float;Embossed;Switch Protection ;No;N
33703067;ECO Program ;ECO Program ;FCNE625X WIF;370;Candy;HALINO CATA;HORT3181BI WIFI;E0 White;Fan Assisted;MR07;New ECO;70018701;Yellow Glasswool (24 kg/m3 , 30 mm);1 Back;42823856;25W;42827354;1010W(internal)+1010W(external);4.32 W/cm2-4.58 W/cm2;42827837;1100W;2.35 W/cm2;;;;42822091;12W;42834931;22W;N;1 Reflective + 1 Float;Flat;Ventilation Channel ;Yes;N
33703070;42837376;42827049;FCC603NAV;1610;Candy;HALINO CATA;FCP605NXL/E;Mechanical Analog Clock;Fan Assisted;MR07;New ECO;70018701;Yellow Glasswool (24 kg/m3 , 30 mm);1 Back;42823856;25W;42827354;1010W(internal)+1010W(external);4.32 W/cm2-4.58 W/cm2;42827837;1100W;2.35 W/cm2;;;;91204735;18W;42834931;22W;N;1 Reflective + 1 Float;Embossed;Switch Protection ;No;N
33703071;42837376;42827049;FCNE635X;620;Candy;HALINO CATA;FCP605XL/E;Timer Touch;Fan Assisted;MR07;New ECO;70018701;Yellow Glasswool (24 kg/m3 , 30 mm);1 Back;42823856;25W;42827354;1010W(internal)+1010W(external);4.32 W/cm2-4.58 W/cm2;42827837;1100W;2.35 W/cm2;;;;42822091;12W;42828618;22W;N;1 Reflective + 1 Float;Embossed;Ventilation Channel ;No;5mm
33703072;42837376;42827049;FCC604NAV;2030;Candy;HALINO CATA;FCP605NXL/E;Mechanical Analog Clock;Fan Assisted;MR07;New ECO;70018701;Yellow Glasswool (24 kg/m3 , 30 mm);1 Back;42823856;25W;42827354;1010W(internal)+1010W(external);4.32 W/cm2-4.58 W/cm2;42827837;1100W;2.35 W/cm2;;;;91204735;18W;42834931;22W;N;1 Reflective + 1 Float;Embossed;Switch Protection ;No;N
33703080;42837376;42827049;FCT625WXL;200;Candy;HALINO CATA;FCP625XL/E;Timer Touch;Fan Assisted;MR07;New ECO;70018701;Yellow Glasswool (24 kg/m3 , 30 mm);1 Back;42823856;25W;42827354;1010W(internal)+1010W(external);4.32 W/cm2-4.58 W/cm2;42827837;1100W;2.35 W/cm2;;;;42822091;12W;42828618;22W;N;1 Reflective + 1 Float;Flat;Ventilation Channel ;No;5mm
33703081;42837376;42827049;FCT605XL;210;Candy;HALINO CATA;FCP605XL/E;Timer Touch;Fan Assisted;MR07;New ECO;70018701;Yellow Glasswool (24 kg/m3 , 30 mm);1 Back;42823856;25W;42827354;1010W(internal)+1010W(external);4.32 W/cm2-4.58 W/cm2;42827837;1100W;2.35 W/cm2;;;;42822091;12W;42828618;22W;N;1 Reflective + 1 Float;Embossed;Ventilation Channel ;No;5mm
