Code;Commutator code ;Electric Diagram ;Name;Volume (market);Brand;Cluster Description;Eprel Clusters;Controller;Function Type;Type;Buffle ;Insulation Code ;Insulation Desc.;Type of Lamps ;Lamp Code ;Lamp Power ;Upper Resistance ;Upper Heater Power;Upper Heater Surface Load ;Lower Resistance;Lower Heater Power;Lower Heater  Surface Load ;Cavity Resistance Code;Cavity Heater Power;Cavity Heater Surface Load ;Cooling Fan;Cooling Fan Power ;Cavity Fan;Cavity Fan Power ;Turnspit;Number of glass;Cavity Type ;Ventilation Channel ;ECO Program ;Chimney
33703428;42814656;41011130;FIDC X100;41505;Candy;HALINO CATA;FIDC N100;No timer (2 knobs);Static;MN08;No Buffle;70006663;Yellow (18 kg/m3 , 30 mm);1 Back;42823856;25W;70006585;1100W;4,04 W/cm²;42827837;1100W;2.35 W/cm2;;;;;;;;N;1 Reflective + 1 Float;Embossed;-;No;5mm
33703460;70004134;42828557;;719;Candy;HALINO CATA;CMFS4X/1/E;No timer (2 knobs);Static;MR07;No Buffle;70018701;Yellow Glasswool (24 kg/m3 , 30 mm);1 Back;42823856;25W;42836665;1010W(internal)+1010W(external);4.32 W/cm2-4.58 W/cm2;42827837;1100W;2.35 W/cm2;;;;91204735;18W;;;N;1 Reflective + 1 Float;Embossed;Switch Protection ;No;N
33703475;42814656;41011130;FIDC N100;21176;Candy;HALINO CATA;FIDC N100;No timer (2 knobs);Static;MN08;No Buffle;70006663;Yellow (18 kg/m3 , 30 mm);1 Back;42823856;25W;70006585;1100W;4,04 W/cm²;42827837;1100W;2.35 W/cm2;;;;;;;;N;1 Reflective + 1 Float;Embossed;-;No;5mm
33703478;42814656;41011130;FIDC B100;7820;Candy;HALINO CATA;FIDC N100;No timer (2 knobs);Static;MN08;No Buffle;70006663;Yellow (18 kg/m3 , 30 mm);1 Back;42823856;25W;70006585;1100W;4,04 W/cm²;42827837;1100W;2.35 W/cm2;;;;;;;;N;1 Reflective + 1 Float;Embossed;-;No;5mm
33703485;70004134;42828557;FIDC X200/S;3355;Candy;HALINO CATA;FIDC X200;No timer (2 knobs);Static;H1RMC;No Buffle;70006664;Yellow (24 kg/m3 , 30 mm);1 Back;42823856;25W;42839626;1400W;4,82 W/cm²;42827837;1100W;2.35 W/cm2;;;;70007644;13W;;;N;1 Reflective + 1 Float;Embossed;Ventilation Channel ;No;5mm
33703488;70004134;70023603;FIDC X200;2358;Candy;HALINO CATA;FIDC X200;No timer (2 knobs);Static;H1RMC;No Buffle;70006664;Yellow (24 kg/m3 , 30 mm);1 Back;42823856;25W;42839626;1400W;4,82 W/cm²;42827837;1100W;2.35 W/cm2;;;;70006946;12W;;;N;1 Reflective + 1 Float;Embossed;Ventilation Channel ;No;5mm
33703489;70004134;70023603;FIDC N200;2572;Candy;HALINO CATA;FIDC X200;No timer (2 knobs);Static;H1RMC;No Buffle;70006664;Yellow (24 kg/m3 , 30 mm);1 Back;42823856;25W;42839626;1400W;4,82 W/cm²;42827837;1100W;2.35 W/cm2;;;;70006946;12W;;;N;1 Reflective + 1 Float;Embossed;Ventilation Channel ;No;5mm
33703513;70004134;70023603;FMCIDC X200;35044;Candy;HALINO CATA;FIDC X200;No timer (2 knobs);Static;H1RMC;No Buffle;70018790;Yellow (24 kg/m3 , 30 mm);1 Back;42823856;25W;42839626;1400W;4,82 W/cm²;42827837;1100W;2.35 W/cm2;;;;70006946;12W;;;N;1 Reflective + 1 Float;Embossed;Ventilation Channel ;No;5mm
33703551;42814656;41011130;FCID X100;1179;Candy;HALINO CATA;FIDC N100;No timer (2 knobs);Static;MN08;No Buffle;70006663;Yellow (18 kg/m3 , 30 mm);1 Back;42823856;25W;70006585;1100W;4,04 W/cm²;42827837;1100W;2.35 W/cm2;;;;;;;;N;1 Reflective + 1 Float;Embossed;-;No;5mm
33703583;70004134;42828557;FIDCP X200;;Candy;HALINO CATA;FIDC X200;No timer (2 knobs);Static;H1RMC;No Buffle;70006664;Yellow (24 kg/m3 , 30 mm);1 Back;42823856;25W;42839626;1400W;4,82 W/cm²;42827837;1100W;2.35 W/cm2;;;;70006946;12W;;;N;1 Reflective + 1 Float;Embossed;Ventilation Channel ;No;5mm
33703614;42814656;41011130;FIDC N100/1;;Candy;HALINO CATA;FIDC N100;No timer (2 knobs);Static;MN08;No Buffle;70006663;Yellow (18 kg/m3 , 30 mm);1 Back;42823856;25W;70006585;1100W;4,04 W/cm²;42827837;1100W;2.35 W/cm2;;;;;;;;N;1 Reflective + 1 Float;Embossed;-;No;5mm
33703650;70004134;42828557;FIDC N201;;Candy;HALINO CATA;FIDC N201;No timer (2 knobs);Static;H1RMC;No Buffle;70006664;Yellow (24 kg/m3 , 30 mm);1 Back;42823856;25W;42839626;1400W;4,82 W/cm²;42827837;1100W;2.35 W/cm2;;;;70007644;13W;;;N;1 Reflective + 1 Float;Flat;Ventilation Channel ;No;5mm
33703654;42814656;41011130;FIDC N110;;Candy;HALINO CATA;FIDC N110;No timer (2 knobs);Static;MN08;No Buffle;70006663;Yellow (18 kg/m3 , 30 mm);1 Back;42823856;25W;70006585;1100W;4,04 W/cm²;42827837;1100W;2.35 W/cm2;;;;;;;;N;1 Reflective + 1 Float;Flat;Ventilation Channel ;No;5mm
33703664;42814656;41011130;FCT100W;;Candy;HALINO CATA;;No timer (2 knobs);Static;MN08;No Buffle;70006663;Yellow (18 kg/m3 , 30 mm);1 Back;42823856;25W;70006585;1100W;4,04 W/cm²;42827837;1100W;2.35 W/cm2;;;;;;;;N;1 Reflective + 1 Float;Embossed;Ventilation Channel ;No;5mm
33703665;42814656;41011130;FCT100X;;Candy;HALINO CATA;;No timer (2 knobs);Static;MN08;No Buffle;70006663;Yellow (18 kg/m3 , 30 mm);1 Back;42823856;25W;70006585;1100W;4,04 W/cm²;42827837;1100W;2.35 W/cm2;;;;;;;;N;1 Reflective + 1 Float;Embossed;Ventilation Channel ;No;5mm
33703669;42814656;41011130;FCT100N;;Candy;HALINO CATA;;No timer (2 knobs);Static;MN08;No Buffle;70006663;Yellow (18 kg/m3 , 30 mm);1 Back;42823856;25W;70006585;1100W;4,04 W/cm²;42827837;1100W;2.35 W/cm2;;;;;;;;N;1 Reflective + 1 Float;Embossed;Ventilation Channel ;No;5mm
33703430;42837376;42827049;FIDC N625 L;1768;Candy;HALINO CATA;FIDC N615;Timer Touch;Fan Assisted;H1RMC;New ECO;70006664;Yellow (24 kg/m3 , 30 mm);1 Back;42823856;25W;42839626;1400W;4,82 W/cm²;42827837;1100W;2.35 W/cm2;;;;70007644;13W;42837772;22W;N;1 Reflective + 1 Float;Flat;Ventilation Channel ;No;5mm
33703431;42837376;42827049;FIDC X605;10761;Candy;HALINO CATA;FIDC X605 L;Timer Touch;Fan Assisted;H1RMC;New ECO;70018790;Yellow (24 kg/m3 , 30 mm);1 Back;42823856;25W;42839626;1400W;4,82 W/cm²;42827837;1100W;2.35 W/cm2;;;;70006946;12W;42837772;22W;N;1 Reflective + 1 Float;Embossed;Ventilation Channel ;No;5mm
33703432;42837376;42827049;FIDC N602;3286;Candy;HALINO CATA;FIDC X605 L;Mechanical Minute Minder 60';Fan Assisted;H1RMC;New ECO;70006664;Yellow (24 kg/m3 , 30 mm);1 Back;42823856;25W;42839626;1400W;4,82 W/cm²;42827837;1100W;2.35 W/cm2;;;;70007644;13W;42837772;22W;N;1 Reflective + 1 Float;Embossed;Ventilation Channel ;No;5mm
33703433;42837376;70023601;FIDC X602;19536;Candy;HALINO CATA;FIDC X605 L;Mechanical Minute Minder 60';Fan Assisted;H1RMC;New ECO;70018790;Yellow (24 kg/m3 , 30 mm);1 Back;42823856;25W;42833751;1400W(external)+1200W(internal);6.05 W/cm2-4.69 W/cm2 ;42827837;1100W;2.35 W/cm2;;;;70006946;12W;42837772;22W;N;1 Reflective + 1 Float;Embossed;Ventilation Channel ;No;5mm
33703434;70004133;42828538;FIDC X502;23085;Candy;HALINO CATA;FIDC N502;Mechanical Minute Minder 60';Fan Assisted;MN08;New ECO;70006663;Yellow (18 kg/m3 , 30 mm);1 Back;42823856;25W;70006585;1100W;4,04 W/cm²;42827837;1100W;2.35 W/cm2;;;;;;42837772;22W;N;1 Reflective + 1 Float;Embossed;;No;5mm
33703465;42837376;42825594;FCT615X/1;2572;Candy;HALINO CATA;HCT615X/E;Timer Touch (Steam Button);Fan Assisted;MR07;New ECO;42827845;Needled Glasswool (33 kg/m3 , 30mm);1 Back;42823856;25W;42836668;1800W;5,13 W/cm2;42830902;1050W(external)+450W(internal);5.18 W/cm2-3.6 W/cm2;;;;42822091;12W;42834931;22W;N;1 Reflective + 1 Float;Flat;Ventilation Channel ;No;5mm
33703469;42837376;42827049;FIDC X625 L;3973;Candy;HALINO CATA;FIDC N615;Timer Touch;Fan Assisted;H1RMC;New ECO;70006664;Yellow (24 kg/m3 , 30 mm);1 Back;42823856;25W;42839626;1400W;4,82 W/cm²;42827837;1100W;3.6 W/cm2;;;;70006946;12W;42837772;22W;N;1 Reflective + 1 Float;Flat;Ventilation Channel ;No;5mm
33703472;42827053;42827052;FIDC X825 L;524;Candy;HALINO CATA;FIDC X825 L;Timer Touch;Multifunction;H1RMC;New ECO;42832511;Needled Glasswool (33 kg/m3 , 30mm);1 Back;42823856;25W;42833751;1400W(external)+1200W(internal);6.05 W/cm2-4.69 W/cm2 ;42827837;1100W;2.35 W/cm2;42837769;2200W;6.74 W/cm2;70006946;12W;42837772;22W;N;1 Reflective + 1 Float;Flat;Ventilation Channel ;No;5mm
33703474;42827844;70023602;FIDC N403;782;Candy;HALINO CATA;FIDC X403;Mechanical End of Cooking 120';Fan Oven;H1RMC;New ECO;70006664;Yellow (24 kg/m3 , 30 mm);1 Back;42823856;25W;42833751;1400W(external)+1200W(internal);6.05 W/cm2-4.69 W/cm2 ;Fan oven ;Fan oven ;;42837769;2200W;6.74 W/cm2;70006946;12W;42837772;22W;N;1 Reflective + 1 Float;Embossed;Ventilation Channel ;No;5mm
33703476;70004133;42828538;FIDC B502;6279;Candy;HALINO CATA;FIDC N502;Mechanical Minute Minder 60';Fan Assisted;MN08;New ECO;70006663;Yellow (18 kg/m3 , 30 mm);1 Back;42823856;25W;70006585;1100W;4,04 W/cm²;42827837;1100W;2.35 W/cm2;;;;;;42837772;22W;N;1 Reflective + 1 Float;Embossed;;No;5mm
33703477;70004133;42828538;FIDC N502;13024;Candy;HALINO CATA;FIDC N502;Mechanical Minute Minder 60';Fan Assisted;MN08;New ECO;70006663;Yellow (18 kg/m3 , 30 mm);1 Back;42823856;25W;70006585;1100W;4,04 W/cm²;42827837;1100W;2.35 W/cm2;;;;;;42837772;22W;N;1 Reflective + 1 Float;Embossed;;No;5mm
33703479;70004136;42827843;FIDC X405;631;Candy;HALINO CATA;FIDC X403;Timer Touch;Fan Oven;H1RMC;New ECO;70006664;Yellow (24 kg/m3 , 30 mm);1 Back;42823856;25W;42833751;1400W(external)+1200W(internal);6.05 W/cm2-4.69 W/cm2 ;Fan oven ;Fan oven ;;42837769;2200W;6.74 W/cm2;70006946;12W;42837772;22W;N;1 Reflective + 1 Float;Embossed;Ventilation Channel ;No;5mm
33703480;70004136;42827843;FIDC N405;945;Candy;HALINO CATA;FIDC X403;Timer Touch;Fan Oven;H1RMC;New ECO;70006664;Yellow (24 kg/m3 , 30 mm);1 Back;42823856;25W;42833751;1400W(external)+1200W(internal);6.05 W/cm2-4.69 W/cm2 ;Fan oven ;Fan oven ;;42837769;2200W;6.74 W/cm2;70006946;12W;42837772;22W;N;1 Reflective + 1 Float;Embossed;Ventilation Channel ;No;5mm
33703481;42837376;42827049;FMCIDC X605;807;Candy;HALINO CATA;FIDC X605 L;Timer Touch;Fan Assisted;H1RMC;New ECO;70006664;Yellow (24 kg/m3 , 30 mm);1 Back;42823856;25W;42839626;1400W;4,82 W/cm²;42827837;1100W;2.35 W/cm2;;;;70006946;12W;42837772;22W;N;1 Reflective + 1 Float;Embossed;Ventilation Channel ;No;5mm
33703482;42837376;70023602;FIDC X403;657;Candy;HALINO CATA;FIDC X403;Mechanical End of Cooking 120';Fan Oven;H1RMC;New ECO;70006664;Yellow (24 kg/m3 , 30 mm);1 Back;42823856;25W;42833751;1400W(external)+1200W(internal);6.05 W/cm2-4.69 W/cm2 ;Fan oven ;Fan oven ;;42837769;2200W;6.74 W/cm2;70006946;12W;42837772;22W;N;1 Reflective + 1 Float;Embossed;Ventilation Channel ;No;5mm
33703483;42837376;42827049;FIDC X605/S;2486;Candy;HALINO CATA;FIDC X605 L;Timer Touch;Fan Assisted;H1RMC;New ECO;70006664;Yellow (24 kg/m3 , 30 mm);1 Back;42823856;25W;42839626;1400W;4,82 W/cm²;42827837;1100W;2.35 W/cm2;;;;70007644;13W;42837772;22W;N;1 Reflective + 1 Float;Embossed;Ventilation Channel ;No;5mm
33703484;42837376;70023601;FIDC X600;657;Candy;HALINO CATA;FIDC X600;No timer (2 knobs);Fan Assisted;H1RMC;New ECO;70006664;Yellow (24 kg/m3 , 30 mm);1 Back;42823856;25W;42833751;1400W(external)+1200W(internal);6.05 W/cm2-4.69 W/cm2 ;42827837;1100W;2.35 W/cm2;;;;70006946;12W;42837772;22W;N;1 Reflective + 1 Float;Embossed;Ventilation Channel ;No;5mm
33703487;42837376;42827049;FIDC X605 L;1851;Candy;HALINO CATA;FIDC X605 L;Timer Touch;Fan Assisted;H1RMC;New ECO;70006664;Yellow (24 kg/m3 , 30 mm);1 Back;42823856;25W;42839626;1400W;4,82 W/cm²;42827837;1100W;2.35 W/cm2;;;;70006946;12W;42837772;22W;N;1 Reflective + 1 Float;Embossed;Ventilation Channel ;No;5mm
33703490;42837376;70023601;FIDC X662;968;Candy;HALINO CATA;FIDC X605 L;Mechanical Minute Minder 60';Fan Assisted;H1RMC;New ECO;70006664;Yellow (24 kg/m3 , 30 mm);1 Back;42823856;25W;42833751;1400W(external)+1200W(internal);6.05 W/cm2-4.69 W/cm2 ;42827837;1100W;2.35 W/cm2;;;;70006946;12W;42837772;22W;N;1 Reflective + 1 Float;Flat cavity + Embossed Catalytic Panels;Ventilation Channel ;No;N
33703494;42837376;42827049;FIDC N605 L;3382;Candy;HALINO CATA;FIDC X605 L;Timer Touch;Fan Assisted;H1RMC;New ECO;70006664;Yellow (24 kg/m3 , 30 mm);1 Back;42823856;25W;42833751;1400W(external)+1200W(internal);6.05 W/cm2-4.69 W/cm2 ;42827837;1100W;2.35 W/cm2;;;;70006946;12W;42837772;22W;N;1 Reflective + 1 Float;Embossed;Ventilation Channel ;No;5mm
33703498;42837376;42827049;FMCIDC N626 ;3184;Candy;HALINO CATA;FIDC X605 L;Timer Touch;Fan Assisted;H1RMC;New ECO;70006664;Yellow (24 kg/m3 , 30 mm);1 Back;42823856;25W;42833751;1400W(external)+1200W(internal);6.05 W/cm2-4.69 W/cm2 ;42827837;1100W;2.35 W/cm2;;;;70006946;12W;42837772;22W;N;1 Reflective + 1 Float;Embossed;Ventilation Channel ;No;5mm
33703499;42837376;70023601;RFIC X602;13185;Candy;HALINO CATA;FIDC X605 L;Mechanical Minute Minder 60';Fan Assisted;H1RMC;New ECO;70018790;Yellow (24 kg/m3 , 30 mm);1 Back;42823856;25W;42839626;1400W;4,82 W/cm²;42827837;1100W;2.35 W/cm2;;;;70006946;12W;42837772;22W;N;1 Reflective + 1 Float;Embossed;Ventilation Channel ;No;5mm
33703500;42837376;42827049;FMCIDC B626 ;276;Candy;HALINO CATA;FIDC X605 L;Timer Touch;Fan Assisted;H1RMC;New ECO;70006664;Yellow (24 kg/m3 , 30 mm);1 Back;42823856;25W;42833751;1400W(external)+1200W(internal);6.05 W/cm2-4.69 W/cm2 ;42827837;1100W;2.35 W/cm2;;;;70006946;12W;42837772;22W;N;1 Reflective + 1 Float;Embossed;Ventilation Channel ;No;5mm
33703501;42837376;42827049;FIDC N615;4196;Candy;HALINO CATA;FIDC N615;Timer Touch;Fan Assisted;H1RMC;New ECO;70006664;Yellow (24 kg/m3 , 30 mm);1 Back;42823856;25W;42833751;1400W(external)+1200W(internal);6.05 W/cm2-4.69 W/cm2 ;42827837;1100W;2.35 W/cm2;;;;70006946;12W;42837772;22W;N;1 Reflective + 1 Float;Flat;Ventilation Channel ;No;5mm
33703510;42837376;70023601;FMCIDC N602/;1302;Candy;HALINO CATA;FIDC X605 L;Mechanical Minute Minder 60';Fan Assisted;H1RMC;New ECO;70006664;Yellow (24 kg/m3 , 30 mm);1 Back;42823856;25W;42839626;1400W;4,82 W/cm²;42827837;1100W;2.35 W/cm2;;;;70006946;12W;42837772;22W;N;1 Reflective + 1 Float;Embossed;Ventilation Channel ;No;5mm
33703511;42837376;70023601;FMCIDC N602/;10690;Candy;HALINO CATA;FIDC X605 L;Mechanical Minute Minder 60';Fan Assisted;H1RMC;New ECO;70006664;Yellow (24 kg/m3 , 30 mm);1 Back;42823856;25W;42833751;1400W(external)+1200W(internal);6.05 W/cm2-4.69 W/cm2 ;42827837;1100W;2.35 W/cm2;;;;70006946;12W;42837772;22W;N;1 Reflective + 1 Float;Embossed;Ventilation Channel ;No;5mm
33703512;42837376;70023606;FMCIDC X602;26430;Candy;HALINO CATA;FMCIDC X602;Mechanical Minute Minder 60';Fan Assisted;H1RMC;New ECO;70006663;Knauf (18 kg/m3 , 30 mm);1 Back;42820055;15W;42839626;1400W;4,82 W/cm²;42827837;1100W;2.35 W/cm2;;;;70006946;12W;42837772;22W;N;1 Reflective + 1 Float;Embossed;Ventilation Channel ;No;5mm
33703514;42837376;70023601;FMCIDC B602;1131;Candy;HALINO CATA;FIDC X605 L;Mechanical Minute Minder 60';Fan Assisted;H1RMC;New ECO;70006664;Yellow (24 kg/m3 , 30 mm);1 Back;42823856;25W;42833751;1400W(external)+1200W(internal);6.05 W/cm2-4.69 W/cm2 ;42827837;1100W;2.35 W/cm2;;;;70006946;12W;42837772;22W;N;1 Reflective + 1 Float;Embossed;Ventilation Channel ;No;5mm
33703524;42837376;70023601;FIDC X612;3329;Candy;HALINO CATA;FIDC N615;Mechanical Minute Minder 60';Fan Assisted;H1RMC;New ECO;70006664;Yellow (24 kg/m3 , 30 mm);1 Back;42823856;25W;42833751;1400W(external)+1200W(internal);6.05 W/cm2-4.69 W/cm2 ;42827837;1100W;2.35 W/cm2;;;;70006946;12W;42837772;22W;N;1 Reflective + 1 Float;Flat;Ventilation Channel ;No;N
33703530;42837376;42827049;FIDC B605 L;764;Candy;HALINO CATA;FIDC X605 L;Timer Touch;Fan Assisted;H1RMC;New ECO;70006664;Yellow (24 kg/m3 , 30 mm);1 Back;42823856;25W;42833751;1400W(external)+1200W(internal);6.05 W/cm2-4.69 W/cm2 ;42827837;1100W;2.35 W/cm2;;;;70006946;12W;42837772;22W;N;1 Reflective + 1 Float;Embossed;Ventilation Channel ;No;5mm
33703544;42837376;42827052;FCM855B;431;Candy;HALINO CATA;FIDC X825 L;Timer Touch;Multifunction;H1RMC;New ECO;42832511;Needled Glasswool (33 kg/m3 , 30mm);1 Back;42823856;25W;70011852;1400W(external)+1200W(internal);5.86 W/cm2-4.53 W/cm2;42827837;1100W;2.35 W/cm2;42837769;2200W;6.74 W/cm2;70007644;13W;42837772;22W;N;1 Reflective + 1 Float;Flat cavity + Flat Catalytic Panels;Ventilation Channel ;No;5mm
33703558;42837376;42827049;FIDC X615;2965;Candy;HALINO CATA;FIDC N615;Timer Touch;Fan Assisted;H1RMC;New ECO;70006664;Yellow (24 kg/m3 , 30 mm);1 Back;42823856;25W;42839626;1400W;4,82 W/cm²;42827837;1100W;2.35 W/cm2;;;;70007644;13W;42837772;22W;N;1 Reflective + 1 Float;Flat;Ventilation Channel ;No;5mm
33703565;42837376;42827049;FCM665VX;;Candy;HALINO CATA;FIDC X605 L;Timer Touch;Fan Assisted;H1RMC;New ECO;70006664;Yellow (24 kg/m3 , 30 mm);1 Back;42823856;25W;42839626;1400W;4,82 W/cm²;42827837;1100W;2.35 W/cm2;;;;70007644;13W;42837772;22W;N;1 Reflective + 1 Float;Flat cavity + Embossed Catalytic Panels;Ventilation Channel ;No;N
33703582;42837376;42827049;FIDCP X625 L;481;Candy;HALINO CATA;FIDC N615;Timer Touch;Fan Assisted;H1RMC;New ECO;70018790;Yellow (24 kg/m3 , 30 mm);1 Back;42823856;25W;42839626;1400W;4,82 W/cm²;42827837;1100W;2.35 W/cm2;;;;70006946;12W;42837772;22W;N;1 Reflective + 1 Float;Flat;Ventilation Channel ;No;5mm
33703586;42837376;42827049;FIDC N615/1;829;Candy;HALINO CATA;FIDC N615;Timer Touch;Fan Assisted;H1RMC;New ECO;70006664;Yellow (24 kg/m3 , 30 mm);1 Back;42823856;25W;42839626;1400W;4,82 W/cm²;42827837;1100W;2.35 W/cm2;;;;70006946;12W;42837772;22W;N;1 Reflective + 1 Float;Flat;Ventilation Channel ;No;5mm
33703587;42827053;42827052;FCM825NRL;1286;Candy;HALINO CATA;FIDC X825 L;Timer Touch;Multifunction;H1RMC;New ECO;42832511;Needled Glasswool (33 kg/m3 , 30mm);1 Back;42823856;25W;42833751;1400W(external)+1200W(internal);6.05 W/cm2-4.69 W/cm2 ;42827837;1100W;2.35 W/cm2;42837769;2200W;6.74 W/cm2;70006946;12W;42837772;22W;N;1 Reflective + 1 Float;Flat;Ventilation Channel ;No;5mm
33703588;42827053;42827052;FCM925NRL;622;Candy;HALINO CATA;FIDC X825 L;Timer Touch+Easy Steam;Multifunction;H1RMC;New ECO;42832511;Needled Glasswool (33 kg/m3 , 30mm);1 Back;42823856;25W;42833751;1400W(external)+1200W(internal);6.05 W/cm2-4.69 W/cm2 ;42827837;1100W;2.35 W/cm2;42837769;2200W;6.74 W/cm2;70006946;12W;42837772;22W;N;1 Reflective + 1 Float;Flat;Ventilation Channel ;No;5mm
33703589;42827053;42827052;FCM955NRL;815;Candy;HALINO CATA;FIDC X825 L;Timer Touch+Easy Steam;Multifunction;H1RMC;New ECO;42832511;Needled Glasswool (33 kg/m3 , 30mm);1 Back;42823856;25W;42833751;1400W(external)+1200W(internal);6.05 W/cm2-4.69 W/cm2 ;42827837;1100W;2.35 W/cm2;42837769;2200W;6.74 W/cm2;70006946;12W;42837772;22W;N;1 Reflective + 1 Float;Flat;Ventilation Channel ;No;5mm
33703591;ECO Program ;ECO Program ;FCNE825XRWF;;Candy;HALINO CATA;HOC5S347INWIFI;E0 Timer Touch;Multifunction;H1RMC;New ECO;42832511;Needled Glasswool (33 kg/m3 , 30mm);1 Back;42823856;25W;42833751;1400W(external)+1200W(internal);6.05 W/cm2-4.69 W/cm2 ;42827837;1100W;2.35 W/cm2;42837769;2200W;6.74 W/cm2;70006946;12W;42833944;22W;N;1 Reflective + 1 Float;Flat;Ventilation Channel ;Yes;5mm
33703592;42827053;42827052;FCM825NR;;Candy;HALINO CATA;FIDC X825 L;Timer Touch;Multifunction;H1RMC;New ECO;42832511;Needled Glasswool (33 kg/m3 , 30mm);1 Back;42823856;25W;42833751;1400W(external)+1200W(internal);6.05 W/cm2-4.69 W/cm2 ;42827837;1100W;2.35 W/cm2;42837769;2200W;6.74 W/cm2;70006946;12W;42837772;22W;N;1 Reflective + 1 Float;Flat;Ventilation Channel ;No;5mm
33703593;42827053;42827052;FCM825XRL;;Candy;HALINO CATA;FIDC X825 L;Timer Touch;Multifunction;H1RMC;New ECO;42832511;Needled Glasswool (33 kg/m3 , 30mm);1 Back;42823856;25W;42833751;1400W(external)+1200W(internal);6.05 W/cm2-4.69 W/cm2 ;42827837;1100W;2.35 W/cm2;42837769;2200W;6.74 W/cm2;70006946;12W;42837772;22W;N;1 Reflective + 1 Float;Flat;Ventilation Channel ;No;5mm
33703595;ECO Program ;ECO Program ;FCNE825XRLWF;;Candy;HALINO CATA;HOC5S347INWIFI;E0 Timer Touch;Multifunction;H1RMC;New ECO;42832511;Needled Glasswool (33 kg/m3 , 30mm);1 Back;42823856;25W;42833751;1400W(external)+1200W(internal);6.05 W/cm2-4.69 W/cm2 ;42827837;1100W;2.35 W/cm2;42837769;2200W;6.74 W/cm2;70006946;12W;42833944;22W;N;1 Reflective + 1 Float;Flat;Ventilation Channel ;Yes;5mm
33703612;42837376;42827049;FIDC X605 L/;;Candy;HALINO CATA;FIDC X605 L;Timer Touch;Fan Assisted;H1RMC;New ECO;70006664;Yellow (24 kg/m3 , 30 mm);1 Back;42823856;25W;42839626;1400W;4,82 W/cm²;42827837;1100W;2.35 W/cm2;;;;70006946;12W;42837772;22W;N;1 Reflective + 1 Float;Embossed;Ventilation Channel ;No;5mm
33703613;42837376;42827049;OCI X602;1467;Candy;HALINO CATA;FIDC X605 L;Mechanical Minute Minder 60';Fan Assisted;H1RMC;New ECO;70006664;Yellow (24 kg/m3 , 30 mm);1 Back;42823856;25W;42839626;1400W;4,82 W/cm²;42827837;1100W;2.35 W/cm2;;;;70006946;12W;42837772;22W;N;1 Reflective + 1 Float;Embossed;Ventilation Channel ;No;5mm
33703615;42837376;42827049;FIDC B625 L;360;Candy;HALINO CATA;FIDC N615;Timer Touch;Fan Assisted;H1RMC;New ECO;70006664;Yellow (24 kg/m3 , 30 mm);1 Back;42823856;25W;42839626;1400W;4,82 W/cm²;42827837;1100W;2.35 W/cm2;;;;70006946;12W;42837772;22W;N;1 Reflective + 1 Float;Flat;Ventilation Channel ;No;5mm
33703618;42837376;42827049;FIDC N602 L;;Candy;HALINO CATA;FIDC X605 L;Mechanical Minute Minder 60';Fan Assisted;H1RMC;New ECO;70006664;Yellow (24 kg/m3 , 30 mm);1 Back;42823856;25W;42839626;1400W;4,82 W/cm²;42827837;1100W;2.35 W/cm2;;;;70006946;12W;42837772;22W;N;1 Reflective + 1 Float;Embossed;Ventilation Channel ;No;5mm
33703628;42837376;42827049;FIDC N612;934;Candy;HALINO CATA;FIDC N615;Mechanical Minute Minder 60';Fan Assisted;H1RMC;New ECO;70006664;Yellow (24 kg/m3 , 30 mm);1 Back;42823856;25W;42839626;1400W;4,82 W/cm²;42827837;1100W;2.35 W/cm2;;;;70007644;13W;42837772;22W;N;1 Reflective + 1 Float;Flat;Ventilation Channel ;No;5mm
33703660;42837376;42827049;FCT612W;;Candy;HALINO CATA;;Mechanical Minute Minder 60';Fan Assisted;H1RMC;New ECO;70006664;Yellow (24 kg/m3 , 30 mm);1 Back;42823856;25W;42839626;1400W;4,82 W/cm²;42827837;1100W;2.35 W/cm2;;;;70007644;13W;42837772;22W;N;1 Reflective + 1 Float;Flat;Ventilation Channel ;No;5mm
33703668;42837376;42827049;FCT612N;;Candy;HALINO CATA;;Mechanical Minute Minder 60';Fan Assisted;H1RMC;New ECO;70006664;Yellow (24 kg/m3 , 30 mm);1 Back;42823856;25W;42839626;1400W;4,82 W/cm²;42827837;1100W;2.35 W/cm2;;;;70007644;13W;42837772;22W;N;1 Reflective + 1 Float;Flat;Ventilation Channel ;No;5mm
33703699;42837376;42827049;FIDC N615LIB;;Candy;HALINO CATA;;Timer Touch;Fan Assisted;H1RMC ;New ECO;70006664;Yellow (24 kg/m3 , 30 mm);1 Back;42823856;25W;42839626;1400W;4,82 W/cm²;42827837;1100W;2.35 W/cm2;;;;70006946;12W;42837772;22W;N;1 Reflective + 1 Float;Flat;Ventilation Channel ;No;5mm
33703700;70004133;42828538;FIDC X502LIB;;Candy;HALINO CATA;;Mechanical Minute Minder 60';Fan Assisted;MN08;New ECO;70006663;Yellow (18 kg/m3 , 30 mm);1 Back;42823856;25W;70006585;1100W;4,04 W/cm²;42827837;1100W;2.35 W/cm2;;;;;;42837772;22W;N;1 Reflective + 1 Float;Embossed;;No;5mm
